Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert];ELKW[Tagesnormiert]
23.03.2020;00:30:00;0,161790721;0,006489973;0,016666667
23.03.2020;00:45:00;0,161604558;0,006046939;0,016666667
23.03.2020;01:00:00;0,161464613;0,005589121;0,016666667
23.03.2020;01:15:00;0,160700097;0,005211039;0,016666667
23.03.2020;01:30:00;0,16066372;0,00486948;0,016666667
23.03.2020;01:45:00;0,161341058;0,004399814;0,016666667
23.03.2020;02:00:00;0,161772543;0,004308046;0,016666667
23.03.2020;02:15:00;0,161704128;0,004232797;0,016666667
23.03.2020;02:30:00;0,161272836;0,004194255;0,016666667
23.03.2020;02:45:00;0,161656073;0,004194255;0,016666667
23.03.2020;03:00:00;0,162979879;0,004219949;0,016666667
23.03.2020;03:15:00;0,16467975;0,004150206;0,016666667
23.03.2020;03:30:00;0,164571246;0,004135523;0,016666667
23.03.2020;03:45:00;0,164206684;0,004227291;0,016666667
23.03.2020;04:00:00;0,164043327;0,004227291;0,016666667
23.03.2020;04:15:00;0,163690276;0,004293363;0,016666667
23.03.2020;04:30:00;0,163968451;0,004574434;0,016666667
23.03.2020;04:45:00;0,164418017;0,005438622;0,016666667
23.03.2020;05:00:00;0,164514866;0,005677035;0,016666667
23.03.2020;05:15:00;0,164099933;0,006252417;0,016666667
23.03.2020;05:30:00;0,164783059;0,007157887;0,016666667
23.03.2020;05:45:00;0,165025107;0,007633335;0,016666667
23.03.2020;06:00:00;0,165153586;0,008616533;0,016666667
23.03.2020;06:15:00;0,166318729;0,010044894;0,016666667
23.03.2020;06:30:00;0,166185256;0,011006028;0,016666667
23.03.2020;06:45:00;0,166378434;0,011311745;0,016666667
23.03.2020;07:00:00;0,167615383;0,012076903;0,016666667
23.03.2020;07:15:00;0,168048944;0,012076903;0
23.03.2020;07:30:00;0,167582226;0,012110123;0
23.03.2020;07:45:00;0,166912945;0,011667574;0
23.03.2020;08:00:00;0,16582756;0,011210801;0
23.03.2020;08:15:00;0,165306955;0,010743934;0
23.03.2020;08:30:00;0,165471135;0,010280095;0
23.03.2020;08:45:00;0,164562693;0,010039847;0
23.03.2020;09:00:00;0,164591346;0,010087566;0
23.03.2020;09:15:00;0,163858714;0,010164651;0
23.03.2020;09:30:00;0,162129741;0,010324327;0
23.03.2020;09:45:00;0,161086424;0,010324327;0
23.03.2020;10:00:00;0,159723818;0,010476661;0
23.03.2020;10:15:00;0,157890529;0,010553745;0
23.03.2020;10:30:00;0,156200845;0,010755634;0
23.03.2020;10:45:00;0,154988397;0,011236037;0
23.03.2020;11:00:00;0,152776535;0,011634767;0
23.03.2020;11:15:00;0,150426315;0,012094064;0
23.03.2020;11:30:00;0,148567807;0,012477193;0
23.03.2020;11:45:00;0,145656382;0,012273469;0,016666667
23.03.2020;12:00:00;0,144238837;0,012027532;0,016666667
23.03.2020;12:15:00;0,143413588;0,011897222;0,016666667
23.03.2020;12:30:00;0,141724199;0,011897222;0
23.03.2020;12:45:00;0,141138384;0,011897222;0
23.03.2020;13:00:00;0,140984106;0,011897222;0
23.03.2020;13:15:00;0,139841799;0,011794443;0
23.03.2020;13:30:00;0,139317933;0,011526481;0
23.03.2020;13:45:00;0,138975011;0,011480598;0
23.03.2020;14:00:00;0,138923375;0,011275038;0
23.03.2020;14:15:00;0,13885394;0,011275038;0
23.03.2020;14:30:00;0,138255565;0,010990559;0
23.03.2020;14:45:00;0,138315074;0,010623489;0
23.03.2020;15:00:00;0,139179637;0,010271101;0
23.03.2020;15:15:00;0,138816411;0,010100414;0
23.03.2020;15:30:00;0,137861396;0,010100414;0
23.03.2020;15:45:00;0,137909714;0,010089402;0
23.03.2020;16:00:00;0,13916389;0,010227053;0
23.03.2020;16:15:00;0,139839719;0,010564758;0
23.03.2020;16:30:00;0,141227732;0,011029101;0
23.03.2020;16:45:00;0,14150821;0,011538309;0
23.03.2020;17:00:00;0,141560638;0,011931832;0,016666667
23.03.2020;17:15:00;0,142173573;0,012836004;0,016666667
23.03.2020;17:30:00;0,142087685;0,013694031;0,016666667
23.03.2020;17:45:00;0,142159738;0,01414828;0,016666667
23.03.2020;18:00:00;0,143494351;0,015026496;0,016666667
23.03.2020;18:15:00;0,144936969;0,01541816;0,016666667
23.03.2020;18:30:00;0,146657046;0,01650432;0,016666667
23.03.2020;18:45:00;0,149126154;0,016981931;0,016666667
23.03.2020;19:00:00;0,150549592;0,017386757;0,016666667
23.03.2020;19:15:00;0,152156901;0,017588646;0,016666667
23.03.2020;19:30:00;0,153758527;0,017496878;0,016666667
23.03.2020;19:45:00;0,154257965;0,017175488;0,016666667
23.03.2020;20:00:00;0,155227707;0,016742549;0,016666667
23.03.2020;20:15:00;0,157481381;0,01618399;0,016666667
23.03.2020;20:30:00;0,159807825;0,015698785;0,016666667
23.03.2020;20:45:00;0,160378107;0,015279978;0,016666667
23.03.2020;21:00:00;0,161011522;0,014310913;0,016666667
23.03.2020;21:15:00;0,161270627;0,014213894;0,016666667
23.03.2020;21:30:00;0,162352746;0,014786065;0,016666667
23.03.2020;21:45:00;0,163446881;0,014368339;0,016666667
23.03.2020;22:00:00;0,162699874;0,013461859;0,016666667
23.03.2020;22:15:00;0,162808187;0,011558049;0,016666667
23.03.2020;22:30:00;0,161777745;0,011093706;0,016666667
23.03.2020;22:45:00;0,160577552;0,009757203;0,016666667
23.03.2020;23:00:00;0,158386532;0,009292321;0,016666667
23.03.2020;23:15:00;0,158678295;0,008360134;0,016666667
23.03.2020;23:30:00;0,158244934;0,008360134;0,016666667
23.03.2020;23:45:00;0,157490774;0,008360134;0,016666667
24.03.2020;00:00:00;0,161073369;0,007415295;0,016666667
24.03.2020;00:15:00;0,16111582;0,006954316;0,016666667
24.03.2020;00:30:00;0,161790721;0,006489973;0,016666667
24.03.2020;00:45:00;0,161604558;0,006046939;0,016666667
24.03.2020;01:00:00;0,161464613;0,005589121;0,016666667
24.03.2020;01:15:00;0,160700097;0,005211039;0,016666667
24.03.2020;01:30:00;0,16066372;0,00486948;0,016666667
24.03.2020;01:45:00;0,161341058;0,004399814;0,016666667
24.03.2020;02:00:00;0,161772543;0,004308046;0,016666667
24.03.2020;02:15:00;0,161704128;0,004232797;0,016666667
24.03.2020;02:30:00;0,161272836;0,004194255;0,016666667
24.03.2020;02:45:00;0,161656073;0,004194255;0,016666667
24.03.2020;03:00:00;0,162979879;0,004219949;0,016666667
24.03.2020;03:15:00;0,16467975;0,004150206;0,016666667
24.03.2020;03:30:00;0,164571246;0,004135523;0,016666667
24.03.2020;03:45:00;0,164206684;0,004227291;0,016666667
24.03.2020;04:00:00;0,164043327;0,004227291;0,016666667
24.03.2020;04:15:00;0,163690276;0,004293363;0,016666667
24.03.2020;04:30:00;0,163968451;0,004574434;0,016666667
24.03.2020;04:45:00;0,164418017;0,005438622;0,016666667
24.03.2020;05:00:00;0,164514866;0,005677035;0,016666667
24.03.2020;05:15:00;0,164099933;0,006252417;0,016666667
24.03.2020;05:30:00;0,164783059;0,007157887;0,016666667
24.03.2020;05:45:00;0,165025107;0,007633335;0,016666667
24.03.2020;06:00:00;0,165153586;0,008616533;0,016666667
24.03.2020;06:15:00;0,166318729;0,010044894;0,016666667
24.03.2020;06:30:00;0,166185256;0,011006028;0,016666667
24.03.2020;06:45:00;0,166378434;0,011311745;0,016666667
24.03.2020;07:00:00;0,167615383;0,012076903;0,016666667
24.03.2020;07:15:00;0,168048944;0,012076903;0
24.03.2020;07:30:00;0,167582226;0,012110123;0
24.03.2020;07:45:00;0,166912945;0,011667574;0
24.03.2020;08:00:00;0,16582756;0,011210801;0
24.03.2020;08:15:00;0,165306955;0,010743934;0
24.03.2020;08:30:00;0,165471135;0,010280095;0
24.03.2020;08:45:00;0,164562693;0,010039847;0
24.03.2020;09:00:00;0,164591346;0,010087566;0
24.03.2020;09:15:00;0,163858714;0,010164651;0
24.03.2020;09:30:00;0,162129741;0,010324327;0
24.03.2020;09:45:00;0,161086424;0,010324327;0
24.03.2020;10:00:00;0,159723818;0,010476661;0
24.03.2020;10:15:00;0,157890529;0,010553745;0
24.03.2020;10:30:00;0,156200845;0,010755634;0
24.03.2020;10:45:00;0,154988397;0,011236037;0
24.03.2020;11:00:00;0,152776535;0,011634767;0
24.03.2020;11:15:00;0,150426315;0,012094064;0
24.03.2020;11:30:00;0,148567807;0,012477193;0
24.03.2020;11:45:00;0,145656382;0,012273469;0,016666667
24.03.2020;12:00:00;0,144238837;0,012027532;0,016666667
24.03.2020;12:15:00;0,143413588;0,011897222;0,016666667
24.03.2020;12:30:00;0,141724199;0,011897222;0
24.03.2020;12:45:00;0,141138384;0,011897222;0
24.03.2020;13:00:00;0,140984106;0,011897222;0
24.03.2020;13:15:00;0,139841799;0,011794443;0
24.03.2020;13:30:00;0,139317933;0,011526481;0
24.03.2020;13:45:00;0,138975011;0,011480598;0
24.03.2020;14:00:00;0,138923375;0,011275038;0
24.03.2020;14:15:00;0,13885394;0,011275038;0
24.03.2020;14:30:00;0,138255565;0,010990559;0
24.03.2020;14:45:00;0,138315074;0,010623489;0
24.03.2020;15:00:00;0,139179637;0,010271101;0
24.03.2020;15:15:00;0,138816411;0,010100414;0
24.03.2020;15:30:00;0,137861396;0,010100414;0
24.03.2020;15:45:00;0,137909714;0,010089402;0
24.03.2020;16:00:00;0,13916389;0,010227053;0
24.03.2020;16:15:00;0,139839719;0,010564758;0
24.03.2020;16:30:00;0,141227732;0,011029101;0
24.03.2020;16:45:00;0,14150821;0,011538309;0
24.03.2020;17:00:00;0,141560638;0,011931832;0,016666667
24.03.2020;17:15:00;0,142173573;0,012836004;0,016666667
24.03.2020;17:30:00;0,142087685;0,013694031;0,016666667
24.03.2020;17:45:00;0,142159738;0,01414828;0,016666667
24.03.2020;18:00:00;0,143494351;0,015026496;0,016666667
24.03.2020;18:15:00;0,144936969;0,01541816;0,016666667
24.03.2020;18:30:00;0,146657046;0,01650432;0,016666667
24.03.2020;18:45:00;0,149126154;0,016981931;0,016666667
24.03.2020;19:00:00;0,150549592;0,017386757;0,016666667
24.03.2020;19:15:00;0,152156901;0,017588646;0,016666667
24.03.2020;19:30:00;0,153758527;0,017496878;0,016666667
24.03.2020;19:45:00;0,154257965;0,017175488;0,016666667
24.03.2020;20:00:00;0,155227707;0,016742549;0,016666667
24.03.2020;20:15:00;0,157481381;0,01618399;0,016666667
24.03.2020;20:30:00;0,159807825;0,015698785;0,016666667
24.03.2020;20:45:00;0,160378107;0,015279978;0,016666667
24.03.2020;21:00:00;0,161011522;0,014310913;0,016666667
24.03.2020;21:15:00;0,161270627;0,014213894;0,016666667
24.03.2020;21:30:00;0,162352746;0,014786065;0,016666667
24.03.2020;21:45:00;0,163446881;0,014368339;0,016666667
24.03.2020;22:00:00;0,162699874;0,013461859;0,016666667
24.03.2020;22:15:00;0,162808187;0,011558049;0,016666667
24.03.2020;22:30:00;0,161777745;0,011093706;0,016666667
24.03.2020;22:45:00;0,160577552;0,009757203;0,016666667
24.03.2020;23:00:00;0,158386532;0,009292321;0,016666667
24.03.2020;23:15:00;0,158678295;0,008360134;0,016666667
24.03.2020;23:30:00;0,158244934;0,008360134;0,016666667
24.03.2020;23:45:00;0,157490774;0,008360134;0,016666667
25.03.2020;00:00:00;0,161073369;0,007415295;0,016666667
25.03.2020;00:15:00;0,16111582;0,006954316;0,016666667
25.03.2020;00:30:00;0,161790721;0,006489973;0,016666667
25.03.2020;00:45:00;0,161604558;0,006046939;0,016666667
25.03.2020;01:00:00;0,161464613;0,005589121;0,016666667
25.03.2020;01:15:00;0,160700097;0,005211039;0,016666667
25.03.2020;01:30:00;0,16066372;0,00486948;0,016666667
25.03.2020;01:45:00;0,161341058;0,004399814;0,016666667
25.03.2020;02:00:00;0,161772543;0,004308046;0,016666667
25.03.2020;02:15:00;0,161704128;0,004232797;0,016666667
25.03.2020;02:30:00;0,161272836;0,004194255;0,016666667
25.03.2020;02:45:00;0,161656073;0,004194255;0,016666667
25.03.2020;03:00:00;0,162979879;0,004219949;0,016666667
25.03.2020;03:15:00;0,16467975;0,004150206;0,016666667
25.03.2020;03:30:00;0,164571246;0,004135523;0,016666667
25.03.2020;03:45:00;0,164206684;0,004227291;0,016666667
25.03.2020;04:00:00;0,164043327;0,004227291;0,016666667
25.03.2020;04:15:00;0,163690276;0,004293363;0,016666667
25.03.2020;04:30:00;0,163968451;0,004574434;0,016666667
25.03.2020;04:45:00;0,164418017;0,005438622;0,016666667
25.03.2020;05:00:00;0,164514866;0,005677035;0,016666667
25.03.2020;05:15:00;0,164099933;0,006252417;0,016666667
25.03.2020;05:30:00;0,164783059;0,007157887;0,016666667
25.03.2020;05:45:00;0,165025107;0,007633335;0,016666667
25.03.2020;06:00:00;0,165153586;0,008616533;0,016666667
25.03.2020;06:15:00;0,166318729;0,010044894;0,016666667
25.03.2020;06:30:00;0,166185256;0,011006028;0,016666667
25.03.2020;06:45:00;0,166378434;0,011311745;0,016666667
25.03.2020;07:00:00;0,167615383;0,012076903;0,016666667
25.03.2020;07:15:00;0,168048944;0,012076903;0
25.03.2020;07:30:00;0,167582226;0,012110123;0
25.03.2020;07:45:00;0,166912945;0,011667574;0
25.03.2020;08:00:00;0,16582756;0,011210801;0
25.03.2020;08:15:00;0,165306955;0,010743934;0
25.03.2020;08:30:00;0,165471135;0,010280095;0
25.03.2020;08:45:00;0,164562693;0,010039847;0
25.03.2020;09:00:00;0,164591346;0,010087566;0
25.03.2020;09:15:00;0,163858714;0,010164651;0
25.03.2020;09:30:00;0,162129741;0,010324327;0
25.03.2020;09:45:00;0,161086424;0,010324327;0
25.03.2020;10:00:00;0,159723818;0,010476661;0
25.03.2020;10:15:00;0,157890529;0,010553745;0
25.03.2020;10:30:00;0,156200845;0,010755634;0
25.03.2020;10:45:00;0,154988397;0,011236037;0
25.03.2020;11:00:00;0,152776535;0,011634767;0
25.03.2020;11:15:00;0,150426315;0,012094064;0
25.03.2020;11:30:00;0,148567807;0,012477193;0
25.03.2020;11:45:00;0,145656382;0,012273469;0,016666667
25.03.2020;12:00:00;0,144238837;0,012027532;0,016666667
25.03.2020;12:15:00;0,143413588;0,011897222;0,016666667
25.03.2020;12:30:00;0,141724199;0,011897222;0
25.03.2020;12:45:00;0,141138384;0,011897222;0
25.03.2020;13:00:00;0,140984106;0,011897222;0
25.03.2020;13:15:00;0,139841799;0,011794443;0
25.03.2020;13:30:00;0,139317933;0,011526481;0
25.03.2020;13:45:00;0,138975011;0,011480598;0
25.03.2020;14:00:00;0,138923375;0,011275038;0
25.03.2020;14:15:00;0,13885394;0,011275038;0
25.03.2020;14:30:00;0,138255565;0,010990559;0
25.03.2020;14:45:00;0,138315074;0,010623489;0
25.03.2020;15:00:00;0,139179637;0,010271101;0
25.03.2020;15:15:00;0,138816411;0,010100414;0
25.03.2020;15:30:00;0,137861396;0,010100414;0
25.03.2020;15:45:00;0,137909714;0,010089402;0
25.03.2020;16:00:00;0,13916389;0,010227053;0
25.03.2020;16:15:00;0,139839719;0,010564758;0
25.03.2020;16:30:00;0,141227732;0,011029101;0
25.03.2020;16:45:00;0,14150821;0,011538309;0
25.03.2020;17:00:00;0,141560638;0,011931832;0,016666667
25.03.2020;17:15:00;0,142173573;0,012836004;0,016666667
25.03.2020;17:30:00;0,142087685;0,013694031;0,016666667
25.03.2020;17:45:00;0,142159738;0,01414828;0,016666667
25.03.2020;18:00:00;0,143494351;0,015026496;0,016666667
25.03.2020;18:15:00;0,144936969;0,01541816;0,016666667
25.03.2020;18:30:00;0,146657046;0,01650432;0,016666667
25.03.2020;18:45:00;0,149126154;0,016981931;0,016666667
25.03.2020;19:00:00;0,150549592;0,017386757;0,016666667
25.03.2020;19:15:00;0,152156901;0,017588646;0,016666667
25.03.2020;19:30:00;0,153758527;0,017496878;0,016666667
25.03.2020;19:45:00;0,154257965;0,017175488;0,016666667
25.03.2020;20:00:00;0,155227707;0,016742549;0,016666667
25.03.2020;20:15:00;0,157481381;0,01618399;0,016666667
25.03.2020;20:30:00;0,159807825;0,015698785;0,016666667
25.03.2020;20:45:00;0,160378107;0,015279978;0,016666667
25.03.2020;21:00:00;0,161011522;0,014310913;0,016666667
25.03.2020;21:15:00;0,161270627;0,014213894;0,016666667
25.03.2020;21:30:00;0,162352746;0,014786065;0,016666667
25.03.2020;21:45:00;0,163446881;0,014368339;0,016666667
25.03.2020;22:00:00;0,162699874;0,013461859;0,016666667
25.03.2020;22:15:00;0,162808187;0,011558049;0,016666667
25.03.2020;22:30:00;0,161777745;0,011093706;0,016666667
25.03.2020;22:45:00;0,160577552;0,009757203;0,016666667
25.03.2020;23:00:00;0,158386532;0,009292321;0,016666667
25.03.2020;23:15:00;0,158678295;0,008360134;0,016666667
25.03.2020;23:30:00;0,158244934;0,008360134;0,016666667
25.03.2020;23:45:00;0,157490774;0,008360134;0,016666667
26.03.2020;00:00:00;0,161073369;0,007415295;0,016666667
26.03.2020;00:15:00;0,16111582;0,006954316;0,016666667
26.03.2020;00:30:00;0,161790721;0,006489973;0,016666667
26.03.2020;00:45:00;0,161604558;0,006046939;0,016666667
26.03.2020;01:00:00;0,161464613;0,005589121;0,016666667
26.03.2020;01:15:00;0,160700097;0,005211039;0,016666667
26.03.2020;01:30:00;0,16066372;0,00486948;0,016666667
26.03.2020;01:45:00;0,161341058;0,004399814;0,016666667
26.03.2020;02:00:00;0,161772543;0,004308046;0,016666667
26.03.2020;02:15:00;0,161704128;0,004232797;0,016666667
26.03.2020;02:30:00;0,161272836;0,004194255;0,016666667
26.03.2020;02:45:00;0,161656073;0,004194255;0,016666667
26.03.2020;03:00:00;0,162979879;0,004219949;0,016666667
26.03.2020;03:15:00;0,16467975;0,004150206;0,016666667
26.03.2020;03:30:00;0,164571246;0,004135523;0,016666667
26.03.2020;03:45:00;0,164206684;0,004227291;0,016666667
26.03.2020;04:00:00;0,164043327;0,004227291;0,016666667
26.03.2020;04:15:00;0,163690276;0,004293363;0,016666667
26.03.2020;04:30:00;0,163968451;0,004574434;0,016666667
26.03.2020;04:45:00;0,164418017;0,005438622;0,016666667
26.03.2020;05:00:00;0,164514866;0,005677035;0,016666667
26.03.2020;05:15:00;0,164099933;0,006252417;0,016666667
26.03.2020;05:30:00;0,164783059;0,007157887;0,016666667
26.03.2020;05:45:00;0,165025107;0,007633335;0,016666667
26.03.2020;06:00:00;0,165153586;0,008616533;0,016666667
26.03.2020;06:15:00;0,166318729;0,010044894;0,016666667
26.03.2020;06:30:00;0,166185256;0,011006028;0,016666667
26.03.2020;06:45:00;0,166378434;0,011311745;0,016666667
26.03.2020;07:00:00;0,167615383;0,012076903;0,016666667
26.03.2020;07:15:00;0,168048944;0,012076903;0
26.03.2020;07:30:00;0,167582226;0,012110123;0
26.03.2020;07:45:00;0,166912945;0,011667574;0
26.03.2020;08:00:00;0,16582756;0,011210801;0
26.03.2020;08:15:00;0,165306955;0,010743934;0
26.03.2020;08:30:00;0,165471135;0,010280095;0
26.03.2020;08:45:00;0,164562693;0,010039847;0
26.03.2020;09:00:00;0,164591346;0,010087566;0
26.03.2020;09:15:00;0,163858714;0,010164651;0
26.03.2020;09:30:00;0,162129741;0,010324327;0
26.03.2020;09:45:00;0,161086424;0,010324327;0
26.03.2020;10:00:00;0,159723818;0,010476661;0
26.03.2020;10:15:00;0,157890529;0,010553745;0
26.03.2020;10:30:00;0,156200845;0,010755634;0
26.03.2020;10:45:00;0,154988397;0,011236037;0
26.03.2020;11:00:00;0,152776535;0,011634767;0
26.03.2020;11:15:00;0,150426315;0,012094064;0
26.03.2020;11:30:00;0,148567807;0,012477193;0
26.03.2020;11:45:00;0,145656382;0,012273469;0,016666667
26.03.2020;12:00:00;0,144238837;0,012027532;0,016666667
26.03.2020;12:15:00;0,143413588;0,011897222;0,016666667
26.03.2020;12:30:00;0,141724199;0,011897222;0
26.03.2020;12:45:00;0,141138384;0,011897222;0
26.03.2020;13:00:00;0,140984106;0,011897222;0
26.03.2020;13:15:00;0,139841799;0,011794443;0
26.03.2020;13:30:00;0,139317933;0,011526481;0
26.03.2020;13:45:00;0,138975011;0,011480598;0
26.03.2020;14:00:00;0,138923375;0,011275038;0
26.03.2020;14:15:00;0,13885394;0,011275038;0
26.03.2020;14:30:00;0,138255565;0,010990559;0
26.03.2020;14:45:00;0,138315074;0,010623489;0
26.03.2020;15:00:00;0,139179637;0,010271101;0
26.03.2020;15:15:00;0,138816411;0,010100414;0
26.03.2020;15:30:00;0,137861396;0,010100414;0
26.03.2020;15:45:00;0,137909714;0,010089402;0
26.03.2020;16:00:00;0,13916389;0,010227053;0
26.03.2020;16:15:00;0,139839719;0,010564758;0
26.03.2020;16:30:00;0,141227732;0,011029101;0
26.03.2020;16:45:00;0,14150821;0,011538309;0
26.03.2020;17:00:00;0,141560638;0,011931832;0,016666667
26.03.2020;17:15:00;0,142173573;0,012836004;0,016666667
26.03.2020;17:30:00;0,142087685;0,013694031;0,016666667
26.03.2020;17:45:00;0,142159738;0,01414828;0,016666667
26.03.2020;18:00:00;0,143494351;0,015026496;0,016666667
26.03.2020;18:15:00;0,144936969;0,01541816;0,016666667
26.03.2020;18:30:00;0,146657046;0,01650432;0,016666667
26.03.2020;18:45:00;0,149126154;0,016981931;0,016666667
26.03.2020;19:00:00;0,150549592;0,017386757;0,016666667
26.03.2020;19:15:00;0,152156901;0,017588646;0,016666667
26.03.2020;19:30:00;0,153758527;0,017496878;0,016666667
26.03.2020;19:45:00;0,154257965;0,017175488;0,016666667
26.03.2020;20:00:00;0,155227707;0,016742549;0,016666667
26.03.2020;20:15:00;0,157481381;0,01618399;0,016666667
26.03.2020;20:30:00;0,159807825;0,015698785;0,016666667
26.03.2020;20:45:00;0,160378107;0,015279978;0,016666667
26.03.2020;21:00:00;0,161011522;0,014310913;0,016666667
26.03.2020;21:15:00;0,161270627;0,014213894;0,016666667
26.03.2020;21:30:00;0,162352746;0,014786065;0,016666667
26.03.2020;21:45:00;0,163446881;0,014368339;0,016666667
26.03.2020;22:00:00;0,162699874;0,013461859;0,016666667
26.03.2020;22:15:00;0,162808187;0,011558049;0,016666667
26.03.2020;22:30:00;0,161777745;0,011093706;0,016666667
26.03.2020;22:45:00;0,160577552;0,009757203;0,016666667
26.03.2020;23:00:00;0,158386532;0,009292321;0,016666667
26.03.2020;23:15:00;0,158678295;0,008360134;0,016666667
26.03.2020;23:30:00;0,158244934;0,008360134;0,016666667
26.03.2020;23:45:00;0,157490774;0,008360134;0,016666667
27.03.2020;00:00:00;0,142553854;0,007415295;0,016666667
27.03.2020;00:15:00;0,142537506;0,006954316;0,016666667
27.03.2020;00:30:00;0,142992069;0,006489973;0,016666667
27.03.2020;00:45:00;0,142901132;0,006046939;0,016666667
27.03.2020;01:00:00;0,142903692;0,005589121;0,016666667
27.03.2020;01:15:00;0,14246227;0,005211039;0,016666667
27.03.2020;01:30:00;0,142246651;0,00486948;0,016666667
27.03.2020;01:45:00;0,142671571;0,004399814;0,016666667
27.03.2020;02:00:00;0,143027728;0,004308046;0,016666667
27.03.2020;02:15:00;0,14293865;0,004232797;0,016666667
27.03.2020;02:30:00;0,143044279;0,004194255;0,016666667
27.03.2020;02:45:00;0,143437364;0,004194255;0,016666667
27.03.2020;03:00:00;0,144292718;0,004219949;0,016666667
27.03.2020;03:15:00;0,145463922;0,004150206;0,016666667
27.03.2020;03:30:00;0,145736891;0,004135523;0,016666667
27.03.2020;03:45:00;0,145513554;0,004227291;0,016666667
27.03.2020;04:00:00;0,145656473;0,004227291;0,016666667
27.03.2020;04:15:00;0,145600639;0,004293363;0,016666667
27.03.2020;04:30:00;0,14561599;0,004574434;0,016666667
27.03.2020;04:45:00;0,145736249;0,005438622;0,016666667
27.03.2020;05:00:00;0,145931204;0,005677035;0,016666667
27.03.2020;05:15:00;0,145766739;0,006252417;0,016666667
27.03.2020;05:30:00;0,146184148;0,007157887;0,016666667
27.03.2020;05:45:00;0,146334085;0,007633335;0,016666667
27.03.2020;06:00:00;0,146410705;0,008616533;0,016666667
27.03.2020;06:15:00;0,147089206;0,010044894;0,016666667
27.03.2020;06:30:00;0,146688798;0,011006028;0,016666667
27.03.2020;06:45:00;0,146534123;0,011311745;0,016666667
27.03.2020;07:00:00;0,147024907;0,012076903;0,016666667
27.03.2020;07:15:00;0,146654054;0,012076903;0
27.03.2020;07:30:00;0,145973764;0,012110123;0
27.03.2020;07:45:00;0,145439718;0,011667574;0
27.03.2020;08:00:00;0,144172052;0,011210801;0
27.03.2020;08:15:00;0,14313291;0,010743934;0
27.03.2020;08:30:00;0,142643597;0,010280095;0
27.03.2020;08:45:00;0,141182661;0,010039847;0
27.03.2020;09:00:00;0,140416718;0,010087566;0
27.03.2020;09:15:00;0,139328933;0,010164651;0
27.03.2020;09:30:00;0,137554631;0,010324327;0
27.03.2020;09:45:00;0,136019537;0,010324327;0
27.03.2020;10:00:00;0,134533618;0,010476661;0
27.03.2020;10:15:00;0,132668115;0,010553745;0
27.03.2020;10:30:00;0,130911142;0,010755634;0
27.03.2020;10:45:00;0,129449386;0,011236037;0
27.03.2020;11:00:00;0,127563865;0,011634767;0
27.03.2020;11:15:00;0,125686793;0,012094064;0
27.03.2020;11:30:00;0,124128021;0,012477193;0
27.03.2020;11:45:00;0,121742798;0,012273469;0,016666667
27.03.2020;12:00:00;0,120414411;0,012027532;0,016666667
27.03.2020;12:15:00;0,1193985;0,011897222;0,016666667
27.03.2020;12:30:00;0,117788288;0,011897222;0
27.03.2020;12:45:00;0,117311488;0,011897222;0
27.03.2020;13:00:00;0,117095148;0,011897222;0
27.03.2020;13:15:00;0,116376498;0,011794443;0
27.03.2020;13:30:00;0,116350317;0,011526481;0
27.03.2020;13:45:00;0,116268373;0,011480598;0
27.03.2020;14:00:00;0,116336516;0,011275038;0
27.03.2020;14:15:00;0,116612455;0,011275038;0
27.03.2020;14:30:00;0,116489145;0,010990559;0
27.03.2020;14:45:00;0,116807893;0,010623489;0
27.03.2020;15:00:00;0,117839283;0,010271101;0
27.03.2020;15:15:00;0,117889181;0,010100414;0
27.03.2020;15:30:00;0,1176673;0,010100414;0
27.03.2020;15:45:00;0,118172325;0,010089402;0
27.03.2020;16:00:00;0,119421721;0,010227053;0
27.03.2020;16:15:00;0,120270357;0,010564758;0
27.03.2020;16:30:00;0,121904934;0,011029101;0
27.03.2020;16:45:00;0,122856751;0,011538309;0
27.03.2020;17:00:00;0,123581742;0,011931832;0,016666667
27.03.2020;17:15:00;0,124559294;0,012836004;0,016666667
27.03.2020;17:30:00;0,124974322;0,013694031;0,016666667
27.03.2020;17:45:00;0,125507522;0,01414828;0,016666667
27.03.2020;18:00:00;0,127128897;0,015026496;0,016666667
27.03.2020;18:15:00;0,128543135;0,01541816;0,016666667
27.03.2020;18:30:00;0,129986066;0,01650432;0,016666667
27.03.2020;18:45:00;0,132137695;0,016981931;0,016666667
27.03.2020;19:00:00;0,13367917;0,017386757;0,016666667
27.03.2020;19:15:00;0,13522237;0,017588646;0,016666667
27.03.2020;19:30:00;0,136684052;0,017496878;0,016666667
27.03.2020;19:45:00;0,137108526;0,017175488;0,016666667
27.03.2020;20:00:00;0,137974289;0,016742549;0,016666667
27.03.2020;20:15:00;0,139651604;0,01618399;0,016666667
27.03.2020;20:30:00;0,141348342;0,015698785;0,016666667
27.03.2020;20:45:00;0,142061544;0,015279978;0,016666667
27.03.2020;21:00:00;0,142657877;0,014310913;0,016666667
27.03.2020;21:15:00;0,142738422;0,014213894;0,016666667
27.03.2020;21:30:00;0,143560672;0,014786065;0,016666667
27.03.2020;21:45:00;0,14419777;0,014368339;0,016666667
27.03.2020;22:00:00;0,143443143;0,013461859;0,016666667
27.03.2020;22:15:00;0,143650779;0,011558049;0,016666667
